Customer_ID,Recency,Frequency,Monetary,Avg_Order_Value,Session_Count,Avg_Session_Duration,Pages_Viewed,Clicks,Campaign_Response,Wishlist_Adds,Cart_Abandon_Rate,Returns,Segment_Label,Engagement_Score,Engagement_Level,Cluster,Segment_Name
CUST00001,51,13,1560.0,113,56,14.76624160508629,33,828.0,1,28,17.629488785115612,8,silver,912.0,Medium,2,Promising Regulars
CUST00002,134,5,3.0,26,7,5.409043699457566,2,60.0,0,4,23.02421591417256,9,iron,71.0,Low,0,At-Risk Customers
CUST00003,55,15,235.0,57,37,5.082231313888915,11,710.0,1,17,28.391939093848286,16,copper,764.0,Medium,2,Promising Regulars
CUST00004,46,11,1293.0,191,48,18.93648649090481,20,1223.0,0,17,15.192267441895275,0,silver,1288.0,Medium,2,Promising Regulars
CUST00005,21,30,3602.0,239,90,26.461395003194724,37,1892.0,0,57,11.427460460752794,8,gold,2039.0,High,1,High-Value Loyalists
CUST00006,25,42,4515.0,282,114,21.14771509677525,53,2187.0,1,63,14.147539013379598,4,gold,2364.0,High,1,High-Value Loyalists
CUST00007,9,67,8835.0,379,152,32.170692865544765,76,4690.050000000001,1,65,6.812092578215489,4,platinum,4907.050000000001,High,3,VIP Champions
CUST00008,79,1,98.0,28,12,8.266338458132406,6,55.0,0,2,28.22408501575815,3,iron,69.0,Low,2,Promising Regulars
CUST00009,63,15,362.0,52,24,14.784944646717909,19,535.0,0,19,25.784887130970915,13,copper,578.0,Medium,2,Promising Regulars
CUST00010,83,18,489.0,67,29,12.57295572071193,26,407.0,0,8,20.2204522906238,11,copper,444.0,Low,2,Promising Regulars
CUST00011,9,76,7925.0,379,190,28.3252199872015,66,4608.0,1,67,9.72095993212311,1,platinum,4865.0,High,3,VIP Champions
CUST00012,131,6,56.0,29,14,3.3508015414652164,9,212.0,0,0,33.8747063121678,12,iron,226.0,Low,0,At-Risk Customers
CUST00013,48,18,442.0,64,36,11.25019454168104,11,440.0,0,10,28.73891619155672,7,copper,486.0,Low,2,Promising Regulars
CUST00014,11,62,4511.0,188,81,25.77796977183369,42,2405.0,1,43,5.15562546258716,8,gold,2529.0,High,1,High-Value Loyalists
CUST00015,16,47,3983.0,268,95,16.849587079821372,33,1440.0,0,49,11.786494371828669,7,gold,1584.0,High,1,High-Value Loyalists
CUST00016,16,55,3868.0,285,114,28.01673066589145,42,1860.0,0,61,12.839252791418875,7,gold,2035.0,High,1,High-Value Loyalists
CUST00017,44,29,1207.0,120,47,11.774316522495983,40,1305.0,0,33,17.95581836542283,4,silver,1385.0,Medium,2,Promising Regulars
CUST00018,35,37,1385.0,115,64,19.01399941229233,44,1110.0,0,16,18.280595427328763,2,silver,1190.0,Medium,2,Promising Regulars
CUST00019,41,36,1700.0,151,44,13.445619079878751,27,713.0,0,28,12.274908908690623,12,silver,785.0,Medium,2,Promising Regulars
CUST00020,15,59,3742.0,164,109,25.344536128726816,40,1103.0,1,31,11.793166653135536,6,gold,1243.0,Medium,1,High-Value Loyalists
CUST00021,39,16,372.0,56,31,11.400487969300563,13,246.0,1,19,21.342841178502923,12,copper,296.0,Low,2,Promising Regulars
CUST00022,27,50,2367.0,214,95,25.19967822976142,50,2578.0,1,50,11.67190344642561,6,gold,2723.0,High,1,High-Value Loyalists
CUST00023,28,64,4663.0,265,110,19.821937169217065,34,1755.0,0,40,11.44563154631822,7,gold,1905.0,High,1,High-Value Loyalists
CUST00024,40,29,1060.0,137,37,18.972433251916417,49,576.0,1,38,16.22515868412716,4,silver,651.0,Medium,2,Promising Regulars
CUST00025,39,10,1040.0,178,52,12.829475680373312,24,1488.0,0,31,16.309704448700582,1,silver,1571.0,High,2,Promising Regulars
CUST00026,70,5,350.0,99,22,9.157342483233872,29,379.0,0,12,27.90767229881168,2,copper,413.0,Low,2,Promising Regulars
CUST00027,15,48,2764.0,295,115,27.47124932895467,56,2414.0,1,58,10.060362702274809,3,gold,2587.0,High,1,High-Value Loyalists
CUST00028,38,15,1682.0,108,49,17.500613241443475,46,512.0,1,11,16.99027414042095,0,silver,572.0,Medium,2,Promising Regulars
CUST00029,43,30,1823.0,197,38,10.117650943669975,43,913.0,0,20,12.130605510175355,0,silver,971.0,Medium,2,Promising Regulars
